task,method,pattern,seed,mm,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
hover,v3,burst,239,0.0,207.8,0.0037,0.0582,0.0000,0.0030,4.0,49.6,0.994,0.003,0.003,139.8,0.491,0.0000
hover,reactive,burst,239,0.0,205.7,0.0040,0.0582,0.0000,0.0030,4.0,123.4,0.002,0.002,0.996,138.4,0.486,0.0000
hover,fixed20,burst,239,0.0,208.2,0.0037,0.0582,0.0000,0.0010,4.0,123.4,0.000,0.000,0.000,140.0,0.491,0.0000
hover,v3,burst,239,0.2,207.9,0.1897,0.1985,0.1902,0.0030,5.0,61.2,0.993,0.004,0.003,139.9,0.491,0.0000
hover,reactive,burst,239,0.2,206.8,0.1884,0.1989,0.1888,0.0030,5.0,150.0,0.002,0.002,0.996,139.1,0.488,0.0000
hover,fixed20,burst,239,0.2,206.5,0.1883,0.1956,0.1888,0.0010,5.0,150.4,0.000,0.000,0.000,138.9,0.487,0.0000
step,v3,burst,239,0.0,207.0,0.0153,0.2746,0.0004,0.0030,4.0,49.9,0.994,0.003,0.003,139.3,0.489,0.0000
step,reactive,burst,239,0.0,208.1,0.0158,0.2803,0.0005,0.0030,4.0,123.8,0.002,0.002,0.996,140.0,0.491,0.0000
step,fixed20,burst,239,0.0,208.3,0.0157,0.2803,0.0004,0.0010,4.0,123.4,0.000,0.000,0.000,140.1,0.492,0.0000
step,v3,burst,239,0.2,207.1,0.1898,0.3715,0.1902,0.0030,5.0,61.2,0.993,0.004,0.003,139.3,0.489,0.0000
step,reactive,burst,239,0.2,209.4,0.1884,0.3648,0.1888,0.0030,5.0,150.1,0.002,0.002,0.996,140.9,0.494,0.0000
step,fixed20,burst,239,0.2,209.0,0.1884,0.3648,0.1888,0.0010,5.0,150.1,0.000,0.000,0.000,140.6,0.493,0.0000
circle,v3,burst,239,0.0,209.4,17268.6259,31913.3187,30502.3675,0.9990,19.7,215.8,0.993,0.004,0.003,140.8,0.494,0.5977
circle,reactive,burst,239,0.0,200.8,20396.4865,46233.8591,41598.2392,0.9920,19.0,204.0,0.998,0.002,0.000,135.1,0.474,0.9772
circle,fixed20,burst,239,0.0,200.7,4002.6033,9733.1421,8598.0013,0.9990,7.3,208.0,0.000,0.000,0.000,135.0,0.474,0.4359
circle,v3,burst,239,0.2,208.5,0.2447,1.6776,0.1951,0.0060,5.0,60.7,0.993,0.004,0.003,140.2,0.492,0.0009
circle,reactive,burst,239,0.2,206.5,7083.4043,16272.8906,14597.3169,0.9530,18.4,215.3,0.970,0.026,0.004,138.9,0.488,0.3889
circle,fixed20,burst,239,0.2,209.0,9160.4620,18571.5003,16790.4435,0.9990,8.0,234.1,0.000,0.000,0.000,140.6,0.493,0.5529
fig8,v3,burst,239,0.0,209.7,0.0510,0.4827,0.0486,0.0040,4.1,50.2,0.993,0.004,0.003,141.1,0.495,0.0000
fig8,reactive,burst,239,0.0,207.0,0.4190,3.4400,0.5019,0.0230,4.6,124.4,0.047,0.038,0.915,139.3,0.489,0.0168
fig8,fixed20,burst,239,0.0,207.8,0.0484,0.4827,0.0540,0.0010,4.0,124.4,0.000,0.000,0.000,139.8,0.491,0.0000
fig8,v3,burst,239,0.2,207.0,0.1965,0.5015,0.1961,0.0030,5.0,61.3,0.993,0.004,0.003,139.3,0.489,0.0000
fig8,reactive,burst,239,0.2,206.7,3207.5490,6910.0432,6302.5136,0.9540,18.5,215.3,0.975,0.019,0.006,139.0,0.488,0.4039
fig8,fixed20,burst,239,0.2,206.7,6165.6116,13387.5499,12132.4827,0.9960,7.8,234.5,0.000,0.000,0.000,139.1,0.488,0.1664
hover,v3,random,240,0.0,149.4,0.0037,0.0580,0.0000,0.0160,4.0,50.1,0.993,0.004,0.003,139.9,0.491,0.0000
hover,reactive,random,240,0.0,150.0,18550.7959,42290.4280,38072.8505,0.9740,23.6,271.8,0.969,0.017,0.014,140.5,0.493,0.8493
hover,fixed20,random,240,0.0,148.8,16848.7658,35811.5996,32899.4193,0.9890,9.9,287.9,0.000,0.000,0.000,139.4,0.489,0.2943
hover,v3,random,240,0.2,145.2,0.1899,0.2005,0.1902,0.0300,5.0,57.3,0.993,0.004,0.003,136.0,0.477,0.0000
hover,reactive,random,240,0.2,146.3,9497.6625,20640.4059,18618.4570,0.9800,24.3,266.1,0.975,0.019,0.006,137.1,0.481,0.3252
hover,fixed20,random,240,0.2,146.7,10603.8951,22631.1800,20449.4011,0.9980,10.0,277.5,0.000,0.000,0.000,137.4,0.482,0.4412
step,v3,random,240,0.0,145.0,0.0153,0.2746,0.0006,0.0160,4.0,47.6,0.993,0.004,0.003,135.9,0.477,0.0000
step,reactive,random,240,0.0,145.0,17949.2342,39319.8632,35908.2243,0.9730,24.2,263.5,0.969,0.017,0.014,135.8,0.477,0.7502
step,fixed20,random,240,0.0,146.0,16848.9335,35811.8404,32899.6554,0.9890,9.8,278.6,0.000,0.000,0.000,136.7,0.480,0.2943
step,v3,random,240,0.2,148.9,0.1900,0.3715,0.1902,0.0340,5.0,60.9,0.993,0.004,0.003,139.4,0.489,0.0000
step,reactive,random,240,0.2,145.0,9497.9820,20640.8587,18618.9087,0.9800,24.3,266.7,0.975,0.019,0.006,135.8,0.476,0.3252
step,fixed20,random,240,0.2,150.1,10604.2130,22631.6278,20449.8483,0.9980,10.0,288.5,0.000,0.000,0.000,140.6,0.493,0.4412
circle,v3,random,240,0.0,149.5,9627.2545,21450.6684,19370.6527,0.9980,23.9,269.8,0.993,0.004,0.003,140.1,0.491,0.6209
circle,reactive,random,240,0.0,150.1,25898.4855,56654.3219,51516.9776,0.9990,24.1,270.9,0.999,0.001,0.000,140.6,0.493,0.5722
circle,fixed20,random,240,0.0,149.0,2844.9553,7337.3083,6457.0463,0.9990,9.6,287.7,0.000,0.000,0.000,139.6,0.490,0.2705
circle,v3,random,240,0.2,145.7,6525.9853,13753.1643,12595.3113,0.9990,24.8,267.0,0.993,0.004,0.003,136.5,0.479,0.4906
circle,reactive,random,240,0.2,145.0,10812.9176,24057.1007,21730.8853,0.9980,24.9,265.2,0.999,0.001,0.000,135.8,0.477,0.5570
circle,fixed20,random,240,0.2,146.1,6549.2370,13785.7813,12655.1074,0.9990,9.8,287.2,0.000,0.000,0.000,136.8,0.480,0.4906
fig8,v3,random,240,0.0,148.9,16171.8122,36166.2096,32633.7363,0.9980,24.0,268.3,0.993,0.004,0.003,139.5,0.489,0.6895
fig8,reactive,random,240,0.0,150.5,17534.9922,40743.6576,36465.8900,0.9660,23.4,271.7,0.965,0.028,0.007,141.0,0.495,0.6221
fig8,fixed20,random,240,0.0,149.9,16658.7170,30349.3719,29169.8672,0.9990,10.0,290.3,0.000,0.000,0.000,140.4,0.493,0.2133
fig8,v3,random,240,0.2,149.6,0.2251,0.9731,0.1962,0.0390,5.1,61.0,0.993,0.004,0.003,140.2,0.492,0.0017
