task,method,blen,seed,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
fig8,v3,20,333,193.1,0.0455,0.4972,0.0484,0.1030,4.0,49.3,0.993,0.004,0.003,141.0,0.495,0.0000
fig8,fixed20,20,333,199.1,0.0482,0.4972,0.0539,0.1010,4.0,124.6,0.000,0.000,0.000,145.4,0.510,0.0000
hover,v3,30,333,191.4,0.0038,0.0579,0.0000,0.1510,4.0,50.8,0.994,0.003,0.003,145.7,0.511,0.0000
hover,fixed20,30,333,185.4,0.0038,0.0579,0.0000,0.1490,4.0,126.9,0.000,0.000,0.000,141.1,0.495,0.0000
step,v3,30,333,190.0,0.0153,0.2746,0.0005,0.1510,4.0,49.7,0.994,0.003,0.003,144.6,0.507,0.0000
step,fixed20,30,333,186.5,0.0157,0.2803,0.0004,0.1490,4.0,124.9,0.000,0.000,0.000,141.9,0.498,0.0000
circle,v3,30,333,187.2,0.1353,1.5388,0.0427,0.1540,4.1,49.0,0.993,0.004,0.003,142.5,0.500,0.0022
circle,fixed20,30,333,185.2,21001.4532,42830.7847,39865.0639,0.9990,7.8,234.8,0.000,0.000,0.000,141.0,0.495,0.5622
fig8,v3,30,333,185.8,0.0457,0.4972,0.0486,0.1510,4.0,49.3,0.993,0.004,0.003,141.4,0.496,0.0000
fig8,fixed20,30,333,186.9,0.0484,0.4972,0.0540,0.1490,4.1,125.2,0.000,0.000,0.000,142.3,0.499,0.0000
hover,v3,5,334,209.4,0.0028,0.0469,0.0000,0.0330,4.0,49.1,0.994,0.003,0.003,144.3,0.506,0.0000
hover,fixed20,5,334,210.1,0.0029,0.0469,0.0000,0.0310,4.0,124.5,0.000,0.000,0.000,144.7,0.508,0.0000
step,v3,5,334,208.5,0.0151,0.2746,0.0002,0.0330,4.0,50.5,0.994,0.003,0.003,143.7,0.504,0.0000
step,fixed20,5,334,213.1,0.0155,0.2803,0.0003,0.0310,4.0,127.1,0.000,0.000,0.000,146.8,0.515,0.0000
circle,v3,5,334,211.0,0.2108,1.8403,0.0426,0.0370,4.1,50.7,0.993,0.004,0.003,145.4,0.510,0.0036
circle,fixed20,5,334,207.7,13382.9183,25889.1968,24691.6189,0.9990,7.8,239.7,0.000,0.000,0.000,143.1,0.502,0.5158
fig8,v3,5,334,204.2,0.0481,0.5455,0.0484,0.0330,4.0,49.1,0.993,0.004,0.003,140.7,0.494,0.0000
fig8,fixed20,5,334,205.1,0.0506,0.5455,0.0540,0.0320,4.0,125.3,0.000,0.000,0.000,141.3,0.496,0.0000
hover,v3,10,334,197.8,0.0029,0.0469,0.0001,0.0630,4.0,48.8,0.994,0.003,0.003,139.6,0.490,0.0000
hover,fixed20,10,334,200.6,0.0029,0.0469,0.0000,0.0610,4.0,125.9,0.000,0.000,0.000,141.6,0.497,0.0000
step,v3,10,334,201.7,0.0151,0.2746,0.0007,0.0630,4.0,50.6,0.994,0.003,0.003,142.4,0.500,0.0000
step,fixed20,10,334,211.0,0.0155,0.2803,0.0003,0.0610,4.0,127.5,0.000,0.000,0.000,148.9,0.523,0.0000
circle,v3,10,334,204.6,0.2109,1.8403,0.0428,0.0670,4.1,50.9,0.993,0.004,0.003,144.5,0.507,0.0036
circle,fixed20,10,334,201.5,13382.9183,25889.1968,24691.6189,0.9990,7.6,237.9,0.000,0.000,0.000,142.2,0.499,0.5158
fig8,v3,10,334,205.4,0.0495,0.5455,0.0486,0.0630,4.0,50.7,0.993,0.004,0.003,145.0,0.509,0.0000
fig8,fixed20,10,334,209.6,0.0512,0.5455,0.0541,0.0620,4.1,127.3,0.000,0.000,0.000,148.0,0.519,0.0000
hover,v3,15,334,199.1,0.0095,0.1335,0.0006,0.0930,4.0,50.8,0.994,0.003,0.003,144.1,0.506,0.0000
hover,fixed20,15,334,200.0,0.0029,0.0469,0.0000,0.0910,4.0,127.1,0.000,0.000,0.000,144.8,0.508,0.0000
step,v3,15,334,198.8,0.0174,0.2746,0.0026,0.0930,4.0,50.4,0.994,0.003,0.003,143.9,0.505,0.0000
step,fixed20,15,334,200.0,0.0155,0.2803,0.0010,0.0910,4.0,127.4,0.000,0.000,0.000,144.8,0.508,0.0000
circle,v3,15,334,203.6,2791.9856,6802.1081,6014.4830,0.8750,17.7,227.9,0.993,0.004,0.003,147.4,0.517,0.4753
circle,fixed20,15,334,198.0,13382.9183,25889.1968,24691.6189,0.9990,7.8,240.2,0.000,0.000,0.000,143.4,0.503,0.5158
fig8,v3,15,334,204.2,14261.0378,34779.6266,30764.8060,0.8830,17.6,227.4,0.993,0.004,0.003,147.8,0.519,0.6400
fig8,fixed20,15,334,199.3,3116.2904,7499.1523,6654.0867,0.8840,7.5,236.0,0.000,0.000,0.000,144.3,0.506,0.1428
hover,v3,20,334,191.8,0.0773,0.9946,0.0030,0.1230,4.1,49.0,0.994,0.003,0.003,142.4,0.500,0.0014
hover,fixed20,20,334,191.3,0.0042,0.0469,0.0002,0.1210,4.0,127.0,0.000,0.000,0.000,142.1,0.499,0.0000
step,v3,20,334,193.2,0.0743,0.9479,0.0098,0.1230,4.1,50.7,0.994,0.003,0.003,143.5,0.504,0.0013
step,fixed20,20,334,195.3,0.0158,0.2803,0.0018,0.1210,4.0,127.4,0.000,0.000,0.000,145.1,0.509,0.0000
circle,v3,20,334,191.2,18334.6749,44422.2772,39420.6443,0.8880,17.0,216.4,0.993,0.004,0.003,142.0,0.498,0.5588
circle,fixed20,20,334,195.8,13382.9183,25889.1968,24691.6189,0.9990,8.0,241.5,0.000,0.000,0.000,145.5,0.510,0.5158
fig8,v3,20,334,194.0,2373.6074,5477.5364,4903.9209,0.8830,16.9,217.9,0.993,0.004,0.003,144.1,0.506,0.3811
fig8,fixed20,20,334,193.3,3033.2549,7313.2471,6486.3601,0.8840,7.3,240.3,0.000,0.000,0.000,143.6,0.504,0.1337
hover,v3,30,334,187.4,6028.0965,14806.1521,13069.6247,0.8800,17.2,227.9,0.994,0.003,0.003,146.8,0.515,0.4889
hover,fixed20,30,334,183.8,2928.6123,7040.1246,6241.9593,0.8830,7.3,236.2,0.000,0.000,0.000,144.0,0.505,0.1283
step,v3,30,334,178.6,11753.7752,29649.1746,26028.3493,0.8820,17.0,213.2,0.994,0.003,0.003,139.9,0.491,0.6894
step,fixed20,30,334,187.4,2939.5121,7046.8802,6252.2388,0.8830,7.3,240.7,0.000,0.000,0.000,146.9,0.515,0.1274
circle,v3,30,334,181.4,11740.0371,29685.8523,25996.5026,0.8870,16.8,218.3,0.993,0.004,0.003,142.1,0.499,0.7806
